Name,Geburtsjahr,Todesjahr,Konfession,Biographie,Vorkommen,Varianten,Autor von,Anfangsjahr,Schlussjahr,Ist Mitglied von,Kategorien,Kommentar,Urheber von,Mitglieder,Dargestellt in,Literatur,Externe Ressourcen
"Adalbold II., Bischof (Utrecht)",ca. 970,1026,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Adalung, Bischof (Eichstätt)",,ca. 837,katholisch,,,,,,,,,,,,,", S. 34–35",Gemeinsame Normdatei (GND):
"Adam, biblische Person",,,keine Angabe,,,,,,,,,,,,,", S. 28–42",Sandrart.net:
"Adam Wenzel, Herzog (Teschen und Großglogau)",1574,1617,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Susanne Adelgais,,,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Adelhaid,ca. 798,,katholisch,,,,,,,,,,,,,", S. 445",Gemeinsame Normdatei (GND):
Johann Christoph von Adelsheim,1581,1632,protestantisch,,,,,,,,,,,,,",",
Christoph Adler,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Adolf, Herzog (Bayern-München)",1434,1441,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Adolf I., Herzog (Schleswig-Holstein-Gottorf)",1526,1586,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Adolf II., Graf (Kleve-Mark)",1373,1448,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Adolf VII., Graf (Holstein-Kiel)",ca. 1327,1390,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Adolf VII., Herzog (Jülich-Berg)",,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Adolf VIII., Graf (Holstein-Schauenburg)",,1370,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Adolf Friedrich I., Herzog (Mecklenburg)",1588,1658,protestantisch,,,,,,,,,,,,,,Sandrart.net:
"Adrian II. von Riedmatten, Bischof (Sitten)",ca. 1550,1613,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Äneas,,,andere,,,,,,,,,,,,,,Sandrart.net:
Aeschrophila (Personifikation),,,keine Angabe,,,,,,,,,,,,,,
Friedrich Kasimir von Affenstein,,1622,protestantisch,,,,,,,,,,,,,,
Jakob Philipp von Affenstein,1551,1622,keine Angabe,,,,,,,,,,,,,,
"Africa, Personifikation",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
"Agan, Bischof (Eichstätt)",,ca. 822,katholisch,,,,,,,,,,,,,", S. 34",Gemeinsame Normdatei (GND):
"Aganippe, Nymphe",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 98",Gemeinsame Normdatei (GND):
"Agatha von Catania, Heilige",,ca. 250,katholisch,,,,,,,,,,,,,", S. 14",Sandrart.net:
"Agnes, Kaiserin (HRR)",ca. 1025,1077,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Wolfgang Agricola,,1632,katholisch,,,,,,,,,,,,,", S. 4",Gemeinsame Normdatei (GND):
Melchior Agster,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Ahab, König (Israel)",,,andere,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Ahasja, König (Juda)",,zwischen ca. 842 und 841 v. Chr.,andere,,,,,,,,,,,,,", S. 19–20",
"Ahasveros, König (Persien)",,,andere,,,"Assuerus, König (Persien)",,,,,,,,,,,Sandrart.net:
"Akis, Gott",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 210",Gemeinsame Normdatei (GND):
Johann Albin,,1620,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Antonio Albizzi,1547,1626,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht, Herzog (Preußen)",1490,1568,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Albrecht I., Herzog (Bayern)",1336,1404,katholisch,,,,,,,,,,,,,", S. 11",Gemeinsame Normdatei (GND):
"Albrecht I. von Hohenfels, Bischof (Eichstätt)",,1355,katholisch,,,,,,,,,,,,,", S. 163–167",Gemeinsame Normdatei (GND):
"Albrecht I., König (HRR)",1255,1308,christlich allgemein,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Albrecht I., Fürst (Mecklenburg)",,1265,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht I., Herzog (Mecklenburg-Stargard)",,1397,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht II., Herzog (Bayern)",1368,1397,katholisch,,,,,,,,,,,,,", S. 11",Gemeinsame Normdatei (GND):
"Albrecht II. von Hohenrechberg, Bischof (Eichstätt)",ca. 1390,1445,katholisch,,,,,,,,,,,,,", S. 194–202",Gemeinsame Normdatei (GND):
"Albrecht II., König (HRR)",1397,1439,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht II., Herzog (Mecklenburg)",1318,1379,katholisch,,,,,,,,,,,,,", S. 326–345 (Wolfgang Huschner)",Gemeinsame Normdatei (GND):
"Albrecht II., Herzog (Österreich)",1298,1358,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht III., Fürst (Anhalt-Köthen)",ca. 1370,1423,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht III., Herzog (Bayern-München)",1401,1460,katholisch,,,,,,,,,,,,,", S. 11",Gemeinsame Normdatei (GND):
"Albrecht III., Markgraf (Brandenburg)",ca. 1250,1300,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht III., König (Schweden)",ca. 1338,1412,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Albrecht IV., Herzog (Bayern)",1447,1508,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht IV., Herzog (Österreich)",1377,1404,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht V., Herzog (Bayern)",1528,1579,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht V., Herzog (Mecklenburg)",1397,1423,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht VI., Landgraf (Bayern-Leuchtenberg)",1584,1666,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht VI., Herzog (Mecklenburg)",1438,1483,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht VI., Erzherzog (Österreich)",1418,1463,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht VII., Herzog (Mecklenburg)",1486,1547,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Albrecht VII., Erzherzog (Österreich)",1559,1621,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Albrecht VIII., Graf (Lindow-Ruppin)",ca. 1405,1460,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Bernhard Albrecht,1569,1636,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht Günther, Graf (Schwarzburg-Rudolstadt)",1582,1634,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Albrecht, Graf (Hohenlohe-Langenburg)",1543,1575,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Albrecht Karl, Markgraf (Baden-Baden)",1598,1626,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Catherine d’Alençon,,,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Alexander I., Papst",,zwischen 115 und 117,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Alexander III. der Große, König (Makedonien)",356 v. Chr.,323 v. Chr.,andere,,,,,,,,,,,,,,Sandrart.net:
"Alexander VI., Papst",1431,1503,katholisch,,,Rodrigo de Borgia,,,,,,,,,,,Sandrart.net:
"Alfons V., König (Aragonien)",1396,1458,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Leone Allacci,ca. 1586,1669,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Altwin, Bischof (Eichstätt)",,ca. 847,katholisch,,,,,,,,,,,,,", S. 35–36",Gemeinsame Normdatei (GND):
"Amadís de Gaula, literarische Gestalt",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Amazonen,,,,,,,,,,,,,,,,,Sandrart.net:
Christoph Amberger,zwischen ca. 1500 und 1505,zwischen 1561 und 1562,katholisch,,,,,,,,,,,,,",",Sandrart.net:
"Ambrakia, mythologische Person",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 280",
"Ambrosius, Heiliger",zwischen 333 und 340,397,christlich allgemein,,,,,,,,,,,,,", S. 27",Sandrart.net:
"America, Personifikation",,,keine Angabe,,,,,,,,,,,,,,
Verena Ammann,,,keine Angabe,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Amor, Gott",,,keine Angabe,,,"Eros, Gott",,,,,,,,,,,Sandrart.net:
"Amos, Prophet",,,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Amphitrite, Göttin",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 318–321",Gemeinsame Normdatei (GND):
Agnes von Andechs-Meranien,ca. 1172,1201,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Carolus Andreae,1550,1627,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Andreas, Apostel",ca. 6 v. Chr.,ca. 60,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Andristator, literatische Gestalt",,,keine Angabe,,,,,,,,,,,,,,
"Andromeda, mythologische Person",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Dorothea von Anhalt-Zerbst,1607,1634,protestantisch,,,,,,,,,,,,,", S. 579",Gemeinsame Normdatei (GND):
Anna von Anhalt,ca. 1400,ca. 1426,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Eleonore Marie von Anhalt-Bernburg,1600,1657,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Sibylla von Anhalt,1564,1614,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Anna, Kaiserin (HRR)",1585,1618,katholisch,,,,,,,,,,,,,,Sandrart.net:
Sigunda Margaretha von Annenberg,1591,1643,katholisch,,,,,,,,,,,,,", S. 263",Gemeinsame Normdatei (GND):
Ansegisel,,,katholisch,,,,,,,,,,,,,", S. 11–24, S. 250",Gemeinsame Normdatei (GND):
"Antiochos IV., König (Seleukidenreich)",ca. 215 v. Chr.,164 v. Chr.,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Anton II., Graf (Oldenburg-Delmenhorst)",1550,1619,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Anton Günther, Graf (Oldenburg)",1583,1667,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Anton Heinrich, Graf (Schwarzburg-Sondershausen)",1571,1638,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Anton Ulrich, Herzog (Braunschweig-Wolfenbüttel)",1633,1714,protestantisch,,,,,,,,,,,,,,Sandrart.net:
Christoph Daniel von Anweil,1564,1620,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann Albrecht von Anweil,1567,1616,keine Angabe,,,,,,,,,,,,,",",
Ludwig von Anweil,,,protestantisch,,,,,,,,,,,,,",",
Ludwig Friedrich von Anweil,1577,1646,protestantisch,,,,,,,,,,,,,", S. 313",Gemeinsame Normdatei (GND):
Philipp Apian,1531,1589,protestantisch,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
"Apollon, Gott",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Die zwölf Apostel,,,,,,,,,,,,,,,,,Sandrart.net:
Heinrich Arboreus,1532,1602,katholisch,,,,,,,,,,,,,", S. 114",Gemeinsame Normdatei (GND):
"Arethusa, Nymphe",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 494",Sandrart.net:
"Arion, Methymnaeus",,,andere,,,,,,,,,,,,,,Sandrart.net:
Ludovico Ariosto,1474,1533,katholisch,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
"Aripert II., König (Langobardenreich)",,712,christlich allgemein,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Aristippos von Kyrene,ca. 436 v. Chr.,ca. 367 v. Chr.,andere,,,,,,,,,,,,,", Bd. 2, S. 269, Anm. 67",Sandrart.net:
"Aristoteles, Philosoph",384 v. Chr.,322 v. Chr.,andere,,,,,,,,,,,,,,Sandrart.net:
Arius,zwischen ca. 260 und 280,336,christlich allgemein,,,,,,,,,,,,,,Sandrart.net:
Arminius,16 v. Chr.,21,andere,,,,,,,,,,,,,,Sandrart.net:
Arnold von Sankt Emmeram,ca. 1000,ca. 1038,katholisch,,,,,,,,,,,,,", S. 27",Gemeinsame Normdatei (GND):
"Arnold I., Graf (Scheyern)",,,katholisch,,,,,,,,,,,,,", S. 30",Gemeinsame Normdatei (GND):
"Arnoldus, literarische Gestalt",,,keine Angabe,,,,,,,,,,,,,,
"Arnolf, Kaiser (Ostfrankenreich)",ca. 850,899,katholisch,,,,,,,,,,,,,", S. 27",Gemeinsame Normdatei (GND):
"Arnulf, Graf (Lengenfeld)",,891,katholisch,,,,,,,,,,,,,", Nr. 16",Gemeinsame Normdatei (GND):
"Arnulf, Graf (Sens)",ca. 794,ca. 841,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Arnulf I., Herzog (Bayern)",,937,katholisch,,,,,,,,,,,,,", S. 27",Gemeinsame Normdatei (GND):
"Arnulf II., Pfalzgraf (Bayern)",,954,katholisch,,,,,,,,,,,,,", S. 28",Gemeinsame Normdatei (GND):
Arnulf,,,katholisch,,,,,,,,,,,,,,
"Arnulf von Metz, Heiliger",582,640,katholisch,,,,,,,,,,,,,", S. 11-25",Gemeinsame Normdatei (GND):
"Artaxerxes I., König (Persien)",,,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Artemisia (Karien),,zwischen 351 und 350 v. Chr.,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Artes liberales (Personifikationen),,,,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Asia, Personifikation",,,keine Angabe,,,,,,,,,,,,,,
"Asmodäus, Dämon",,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Franz Aspruck,ca. 1575,ca. 1611,protestantisch,,,,,,,,,,,,,", Bd. 1, S. 176",Sandrart.net:
Johann Augustin Assum,1577,1634,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Atalja, Königin (Juda)",,zwischen ca. 838 und 835 v. Chr.,andere,,,,,,,,,,,,,", S. 124",Gemeinsame Normdatei (GND):
Athela,ca. 798,,katholisch,,,Atula,,,,,,,,,,", S. 258, 303",Gemeinsame Normdatei (GND):
"Atropos, Göttin",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
"Attila, König (Hunnenreich)",ca. 406,453,andere,,,,,,,,,,,,,,Union List of Artist Names (ULAN):
Christoph Ernst Auer von Riedau,,,katholisch,,,,,,,,,,,,,", S. 580, 718",Gemeinsame Normdatei (GND):
"August, Fürst (Anhalt-Plötzkau)",1575,1653,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"August, Pfalzgraf (Pfalz-Sulzbach)",1582,1632,protestantisch,,,,,,,,,,,,,", S. 67, Kat.-Nr. 31",Gemeinsame Normdatei (GND):
"August, Kurfürst (Sachsen)",1526,1586,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"August, Herzog (Sachsen)",1589,1615,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"August II., Herzog (Braunschweig-Wolfenbüttel)",1579,1666,protestantisch,,,,,,,,,,,,,,Sandrart.net:
"Augustinus von Hippo, Heiliger",354,430,christlich allgemein,,,,,,,,,,,,,", S. 53",Sandrart.net:
"Augustus, Kaiser (Römisches Reich)",63 v. Chr.,14,andere,,,,,,,,,,,,,,Sandrart.net:
Johannes Aventinus,1477,1534,katholisch,,,,,,,,,,,,,", S. 34",Gemeinsame Normdatei (GND):
Christoph Heinrich Ayrer,,1632,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Babo I., Graf (Scheyern)",,995,katholisch,,,,,,,,,,,,,", Nr. 21 [unpaginiert]",
"Bacchus, Gott",,,keine Angabe,,,,,,,,,,,,,,Sandrart.net:
Agatha Bach,,,katholisch,,,,,,,,,,,,,",",
Katharina Bach,1350,1414,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Eberhard van Backe,ca. 1535,ca. 1594,keine Angabe,,,,,,,,,,,,,", S. 286",Gemeinsame Normdatei (GND):
Bartholomäus Backhaus,,,keine Angabe,,,,,,,,,,,,,", S. 14",Gemeinsame Normdatei (GND):
Karl von Baden-Durlach,1598,1625,protestantisch,,,,,,,,,,,,,", S. 42–44",Gemeinsame Normdatei (GND):
Katharina Ursula von Baden-Durlach,1593,1615,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Cäcilie von Baden-Rodemachern,1540,1627,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Beatrix von Baden,1492,1535,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Anna Auguste von Baden-Durlach,1604,1616,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph von Baden-Durlach,1603,1632,protestantisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Maria von Baden,1473,1519,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jakobäa von Baden,1507,1580,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Rosine von Baden,1487,1554,keine Angabe,,,Rosine von Hohenzollern-Haigerloch,,,,,,,,,,,Gemeinsame Normdatei (GND):
Sybille von Baden,1485,1518,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Jakobe von Baden-Baden,1558,1597,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Baian,,602,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Balduin von Luxemburg, Erzbischof (Trier)",1285,1354,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Balthasar, Herzog (Mecklenburg)",1451,1507,katholisch,,,,,,,,,,,,,", S. 97 (Josef Traeger)",Gemeinsame Normdatei (GND):
"Balthasar, Fürst (Wenden)",ca. 1375,1421,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Barbara, Heilige",,ca. 306,katholisch,,,,,,,,,,,,,", S. 43",Gemeinsame Normdatei (GND):
Thomas Barmet,,,keine Angabe,,,,,,,,,,,,,", S. 271",
"Barnim I., Herzog (Pommern)",zwischen 1210 und 1218,1278,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Barnim II., Herzog (Pommern)",ca. 1275,1295,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Barnim IV., Herzog (Pommern-Wolgast-Rügen)",ca. 1325,1365,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Cesare Baronio,1538,1607,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Rodrigo de Barragán y Banousen,ca. 1575,ca. 1641,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
"Bartholomäus, Apostel",zwischen 101 und 2 v. Chr.,ca. 50,christlich allgemein,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Baruch, biblische Person",,,andere,,,,,,,,,,,,,", S. 170–171",
Johann Anton Barvitius,ca. 1555,1620,katholisch,,,,,,,,,,,,,", S. 192–193",Gemeinsame Normdatei (GND):
Carlos de Bastida y Biedma,ca. 1590,ca. 1622,katholisch,,,,,,,,,,,,,", hier S. 397, 399",Gemeinsame Normdatei (GND):
"Batseba, biblische Person",,,andere,,,,,,,,,,,,,", S. 172–173",Sandrart.net:
Thomas Bauch,,1575,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Nicolas de Baugy,1547,1641,keine Angabe,,,,,,,,,,,,,", S. 91, 96–98",Gemeinsame Normdatei (GND):
Georg Baumgartner,ca. 1563,1629,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Matthias Baumgartner,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Nikolaus Hieronymus Baumgartner,ca. 1583,1618,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Paul Baumgartner,,1615,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Georg Baur,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hans Baur,,,keine Angabe,,,,,,,,,,,,,,
Isabeau de Bavière,zwischen 1370 und 1371,1435,katholisch,,,,,,,,,,,,,", S.387",Gemeinsame Normdatei (GND):
Agnes von Bayern,1276,1340,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Agnes von Bayern,zwischen 1335 und 1345,1352,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Albrecht von Bayern,1440,1445,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Anna von Bayern,ca. 1326,1361,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Anna von Bayern,1415,1474,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Barbara von Bayern,1454,1472,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christine von Bayern,1571,1580,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Christoph von Bayern,1570,1570,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Eleonore Magdalena von Bayern,1578,1579,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Bayern-Landshut,1383,1442,katholisch,,,,,,,,,,,,,", S. 173",Gemeinsame Normdatei (GND):
Elisabeth von Bayern,1406,1468,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Bayern,1419,1451,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Bayern,1443,1484,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Bayern,1478,1504,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Bayern,ca. 1329,1402,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Elisabeth von Bayern,1227,1273,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Ernst von Bayern,1438,1460,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Friedrich von Bayern,1553,1554,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Hermann von Bayern,,956,katholisch,,,,,,,,,,,,,", Nr. 18",Gemeinsame Normdatei (GND):
Jakobäa von Bayern,1401,1436,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johann von Bayern,1390,1396,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johanna von Bayern,1413,1444,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Johanna Sophie von Bayern,zwischen ca. 1373 und 1377,1410,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Judith von Bayern,925,ca. 987,katholisch,,,,,,,,,,,,,", S. 398",Gemeinsame Normdatei (GND):
Karl von Bayern,1547,1547,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Karl von Bayern,1580,1587,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Katharina von Bayern,ca. 1360,1402,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Magdalena von Bayern,1388,1410,katholisch,,,,,,,,,,,,,", S. 66, Anm. 339",Gemeinsame Normdatei (GND):
Magdalena von Bayern,1587,1628,katholisch,,,,,,,,,,,,,", S. 141–142, Kat-Nr. 205",Gemeinsame Normdatei (GND):
Margarethe von Bayern,1313,1341,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Margarethe von Bayern,ca. 1363,1423,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Margarethe von Bayern,1410,1465,katholisch,,,,,,,,,,,,,", S. 78",Gemeinsame Normdatei (GND):
Margarethe von Bayern,1442,1479,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Margarethe von Bayern,1456,1501,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Margarethe von Bayern,1480,1531,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Maria Anna von Bayern,1551,1608,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Maria Anna von Bayern,1574,1616,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Maria Maximiliana von Bayern,1552,1614,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
