Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Anna, Kaiserin (HRR);1585;1618;katholisch;Angehörige der Aristokratie;Habsburger (Dynastie);"Stammbuch Philipps II. von Pommern-Stettin; Stammbuch der Kaiserin Anna; Stammbücher Philipp Hainhofers";;;
Anna, Prinzessin (Schweden);1568;1625;"katholisch; protestantisch";Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Sigunda Margaretha von Annenberg;1591;1643;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Frauenzimmer der Kaiserin Anna;;;;
Ansegisel;;;katholisch;Angehörige der Aristokratie;;;;;gestorben vor 679
Anton II., Graf (Oldenburg-Delmenhorst);1550;1619;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbuch Philipps II. von Pommern-Stettin;;;
Anton Günther, Graf (Oldenburg);1583;1667;protestantisch;Angehörige der Aristokratie;;;;;
Anton Heinrich, Graf (Schwarzburg-Sondershausen);1571;1638;protestantisch;Angehörige der Aristokratie;;;;;
Anton Ulrich, Herzog (Braunschweig-Wolfenbüttel);1633;1714;"protestantisch; katholisch";"Angehörige der Aristokratie; Sammler / Auftraggeber; Gelehrte und Schriftsteller";;;;;
Christoph Daniel von Anweil;1564;1620;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Albrecht von Anweil;1567;1616;protestantisch;Hofleute, höfische Administration;;;;;
Ludwig von Anweil;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;um 1600–1617
Ludwig Friedrich von Anweil;1577;1646;protestantisch;Hofleute, höfische Administration;;;;;
Apelles;;;andere;Künstler: Malerei;;;;;
Die zwölf Apostel;;;;;;;;;
Elizabeth Apsley;;1626;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Heinrich Arboreus;1532;1602;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";"Jesuitenorden; Universität Ingolstadt";;;;
Arion, Methymnaeus;;;andere;Gelehrte und Schriftsteller;;;;;um 600 v. Chr.
Arminius;;;andere;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Arnold I., Graf (Scheyern);;;katholisch;Angehörige der Aristokratie;;;;;vor 1078 bis vor 1123
Wolfgang Arnold;;;keine Angabe;Städtische Administration;;Stammbücher Philipp Hainhofers;;;um 1617 nachweisbar
Arnoldus, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Arnulf;;;katholisch;Angehörige der Aristokratie;;;;;
Artaxerxes I., König (Persien);;;andere;Angehörige der Aristokratie;;;;;465–424 v.Chr. (Regierungszeit)
Artemisia (Karien);;;andere;Angehörige der Aristokratie;;Karien, Mausoleum von Halikarnassos;;;
Artes liberales, Personifikationen;;;;;;;;;
Franz Aspruck;1575;1611;protestantisch;"Künstler: Angewandte Kunst; Künstler: Malerei; Künstler: Graphik";;Stammbücher Philipp Hainhofers;;;
Johann Augustin Assum;1577;1634;protestantisch;"Hofleute, höfische Administration; Gelehrte und Schriftsteller";;;Assum, Johann Augustin: Warhaffte Relation Und Historischer/ Politischer/ Höfflicher Discours Uber Deß Durchleuchtigen/ Hochgebornen Fürsten und Herren/ Herren Johann Friderichen/ Hertzogen zu Würtemberg und Teck/ [et]c. Graven zu Mümpergart/ [et]c. Herren zu Heydenheimb/ [et]c. I. F. Gn. Jungen Sohns Printz Friderichen Angestelter und Gehaltner/ Christlicher und Fürstlicher KindTauff: Sampt darbey begangnem [...] FrewdenFest zu Stuttgardten: Den 8. 9. 10. 11. 12. 13. 14. [et]c. Martii/ Anno 1616, Stuttgart 1616;;
Christoph Ernst Auer von Riedau;;;katholisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;erwähnt zwischen 1636 und 1668
Michael Augsburger;;;keine Angabe;Sonstige;;;;;um 1617
August, Fürst (Anhalt-Plötzkau);1575;1653;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
August, Pfalzgraf (Pfalz-Sulzbach);1582;1632;protestantisch;Angehörige der Aristokratie;;"Geschenke anlässlich der Hochzeit von Wolfgang Wilhelm von Pfalz-Neuburg und Magdalena von Bayern; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
August, Herzog (Sachsen);1589;1615;protestantisch;Angehörige der Aristokratie;;;;;
August I., Herzog (Braunschweig-Lüneburg);1568;1636;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
August II., Herzog (Braunschweig-Wolfenbüttel);1579;1666;protestantisch;"Angehörige der Aristokratie; Gelehrte und Schriftsteller";;"Bibliothek Herzog Augusts d. J.; Brief Augusts d. J. zu Braunschweig-Lüneburg an Maximilian I. von Bayern vom 24. Mai 1636; Brief Augusts d. J. zu Braunschweig-Lüneburg an Philipp Hainhofer vom 10. Juni 1636; Brief Augusts d. J. zu Braunschweig-Lüneburg an Philipp Hainhofer vom 24. Mai 1636; Brief Augusts d. J. zu Braunschweig-Lüneburg an Philipp Hainhofer vom 26. Juli 1636; Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers; Uhren und Uhrwerke in der Sammlung Augusts d. J.";"August, Herzog zu Braunschweig-Lüneburg: Gustavi Seleni Cryptomenytices Et Cryptographiae Libri IX. In quibus & planißima Steganographiae a Johanne Trithemio [...] magice & aenigmatice olim conscriptae, Enodatio traditur. Inspersis ubique Authoris ac Aliorum, non contemnendis inventis, Lüneburg 1624; August, Herzog zu Braunschweig-Lüneburg: Das Schach- oder König-Spiel. In vier unterschiedene Bücher/ mit besonderm fleiß/ gründ- und ordentlich abgefasset [...] Diesem ist zu ende/ angefüget/ ein sehr altes Spiel/ genandt/ Rythmo-Machia [...], Leipzig 1616";;
August I., Herzog (Sachsen-Lauenburg);1577;1656;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Stephan von Awen;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1616
Christoph Heinrich Ayrer;;1632;protestantisch;Gelehrte und Schriftsteller;;;;;
Agatha Bach;;;katholisch;Sonstige;;;;;
Bartholomäus Backhaus;;;keine Angabe;Angehörige des Militärs;;;;;um 1612
Karl von Baden-Durlach;1598;1625;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615/März 1616 lebende Söhne;;;;
Katharina Ursula von Baden-Durlach;1593;1615;protestantisch;Angehörige der Aristokratie;;;;;
Cäcilie von Baden-Rodemachern;1540;1627;"protestantisch; katholisch";Angehörige der Aristokratie;;;;;
Anna Auguste von Baden-Durlach;1604;1616;protestantisch;Angehörige der Aristokratie;Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615 lebende Töchter;;;;
Christoph von Baden-Durlach;1603;1632;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";Georg Friedrich, Markgraf (Baden-Durlach), im Juni 1615/März 1616 lebende Söhne;;;;
Stanislaus Banckh;;;protestantisch;Hofleute, höfische Administration;;;;;um 1617
Thomas Barmet;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1606–1615 nachgewiesen
Barnim X., Herzog (Pommern);1549;1603;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);Stammbuch Philipps II. von Pommern-Stettin;;;
Cesare Baronio;1538;1607;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";;;;;
Rodrigo de Barragán y Banousen;1575;1641;katholisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Anton Barvitius;1555;1620;katholisch;Hofleute, höfische Administration;;;;;
Carlos de Bastida y Biedma;1590;1622;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Gelehrte und Schriftsteller";Dominikanerorden;;;;
Johann Ulrich Bauder;;;keine Angabe;Hofleute, höfische Administration;;;;;1608–1616 nachgewiesen
Nicolas de Baugy;1547;1641;keine Angabe;Hofleute, höfische Administration;;;;;
Georg Baumgartner;1563;1629;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Matthias Baumgartner;;;keine Angabe;Sonstige;;;;;1539 nachgewiesen
Nikolaus Hieronymus Baumgartner;1583;1618;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Paul Baumgartner;;1615;keine Angabe;Städtische Administration;;;;;
Ulrich Baumgartner;1579;1652;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Georg Baur;;;keine Angabe;Sonstige;;;;;1539–1564 nachgewiesen
Hans Baur;;;keine Angabe;Sonstige;;;;;1539–1564 nachgewiesen
Magdalena von Bayern;1587;1628;katholisch;Angehörige der Aristokratie;;;;;
Maria Anna von Bayern;1551;1608;katholisch;Angehörige der Aristokratie;;;;;
Maria Anna von Bayern;1574;1616;katholisch;Angehörige der Aristokratie;;;;;
Maria Maximiliana von Bayern;1552;1614;katholisch;Angehörige der Aristokratie;;;;;
Maria Renata von Bayern;1616;1630;katholisch;Angehörige der Aristokratie;;;;;
Mathilde von Bayern;1588;1634;katholisch;Angehörige der Aristokratie;;;;;
Hans Bayr;;;keine Angabe;Künstler: Angewandte Kunst;;;;;um 1617
Hans Jakob Bayr;1574;1628;protestantisch;Künstler: Angewandte Kunst;;Eichstätter Monstranz;;;
Christoph Bechler;;1672;protestantisch;Hofleute, höfische Administration;;;;;
Hieronymus Bechler;1570;1620;protestantisch;Hofleute, höfische Administration;;Stuttgart, Wohnhaus des Hieronymus Bechler;;;
Johann Jakob Bechler;1599;1654;protestantisch;Gelehrte und Schriftsteller;;;;;
Martin Bechler;;1650;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Johannes Beck;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1608 und 1626
Christoph Behaim;1562;1624;keine Angabe;Städtische Administration;Rat der Stadt Nürnberg;;;;
Paulus Behaim von Schwarzbach;1557;1621;protestantisch;"Städtische Administration; Kaufleute, Gewerbetreibende, Dienstleister";Rat der Stadt Nürnberg;;;;
Hugold von Behr;1573;1620;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Christian von Bellin;;;protestantisch;Hofleute, höfische Administration;;;;;zwischen 1612 und 1624
Belloglas, literarische Gestalt;;;keine Angabe;Sonstige;Ritter der Spiegel der Tapferkeit, literarische Gestalten;;;;
Claus von Below auf Klink;;;protestantisch;"Angehörige der Aristokratie; Hofleute, höfische Administration";;;;;erwähnt zwischen 1599 und 1621
Johann Baptist Berchtold;1575;1629;katholisch;Hofleute, höfische Administration;;;;;
Berchtold;;;katholisch;Angehörige der Aristokratie;;;;;Ende 9. bis Anfang 10. Jahrhundert
Stephan Berchtold;1568;1613;protestantisch;Städtische Administration;;;;;
Rudolf von Berckheim;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1616
Michael vom Berg;1566;1618;protestantisch;Städtische Administration;;;;;
Elisabeth von dem Bergh;1581;1614;"protestantisch; katholisch";Angehörige von Klerus und Ordensgemeinschaften;;;;;
Friedrich IV. von dem Bergh;1559;1618;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Dietrich von Beringhausen;;;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;zwischen 1585 und 1616
Adam Gottfried Berka von Dubá und Lipa;1594;1626;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;
Andreas von Bernerdin zum Perenthurn;1582;1657;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Bernhard, Graf (Lengenfeld);;;katholisch;Angehörige der Aristokratie;;;;;
Bernhard II., Graf (Scheyern);;;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;;;;zwischen 1128 und 1139
Tobias Bernhard;1578;1621;protestantisch;"Künstler: Malerei; Künstler: Graphik";;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Wolf von Berstett;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1616
Bertholdus, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Johann Georg Bertram;;;protestantisch;"Hofleute, höfische Administration; Angehörige des Militärs";;;;;1616–1639
Basilius Besler;1561;1629;protestantisch;"Gelehrte und Schriftsteller; Sammler / Auftraggeber";;Naturalienkabinett des Basilius Besler;Besler, Basilius: Hortus Eystettensis, sive Diligens et accurata omnium plantarum, florum, stirpium, ex variis orbis terrae partibus [...] quae in celeberrimis viridariis arcem episcopalem ibidem cingentibus, hoc hoc tempore conspiciuntur. Delineatio et ad vivum repraesentatio operâ Basilii Besleri, Nürnberg 1613;;
Barbara Besserer;;;christlich allgemein;Sonstige;;;;;
Reinhard Friedrich von Bettendorf;;1648;protestantisch;Hofleute, höfische Administration;;;;;
Gerhard Bien;;;keine Angabe;"Kaufleute, Gewerbetreibende, Dienstleister; Städtische Administration";;;;;zwischen 1613 und 1632
Wilhelm Bienner;1585;1651;"protestantisch; katholisch";Hofleute, höfische Administration;;;;;
Dietrich Biesterfeld;;1623;katholisch;Hofleute, höfische Administration;;;;;
von Billerbeck (Familie);;;;;;;;;
Friedrich Kasimir Blarer von Geyersberg;;;protestantisch;Angehörige der Aristokratie;;;;;1611–1616
Johann Konrad Blarer von Geyersberg;;;protestantisch;Hofleute, höfische Administration;;;;;1600–1657
Blarer von Wartensee (Familie);;;;;;;;;
Jacques de Blavier;1572;1647;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Arnold von Bocholtz;1561;1632;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;Stammbücher Philipp Hainhofers;;;
Andreas Bock;;;keine Angabe;Städtische Administration;;;;;um 1613
Ernst Bock;;;keine Angabe;Sonstige;;;;;um 1613–1616
Nicolas Bodin, seigneur de Montguichet;;1621;katholisch;Hofleute, höfische Administration;;;;;
Nikolaus Friedrich Böcklin von Böcklinsau;1580;1658;protestantisch;Hofleute, höfische Administration;;;;;
Georg Böhn;;;keine Angabe;Hofleute, höfische Administration;;;;;um 1617 nachweisbar
Engelbert von Bönninghausen;1566;1622;katholisch;"Hofleute, höfische Administration; Angehörige des Militärs";;;;;
Bogislaw XIII., Herzog (Pommern);1544;1606;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);;;;
Bogislaw XIV., Herzog (Pommern-Stettin);1580;1637;protestantisch;Angehörige der Aristokratie;Greifen (Dynastie);Stammbuch Philipps II. von Pommern-Stettin;;;
Bonacker, Brüder;;;;;;;;;
Jacques Bongars;1554;1612;protestantisch;"Hofleute, höfische Administration; Gelehrte und Schriftsteller";französische Botschafter im Heiligen Römischen Reich, Italien und der Eidgenossenschaft;;;;
Adolf von dem Bongart zu Heyden;;1631;keine Angabe;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Jacob von Bore;;;keine Angabe;"Angehörige der Aristokratie; Angehörige des Militärs";;Stammbücher Philipp Hainhofers;;;um 1617
Andrew Borell;;;keine Angabe;Hofleute, höfische Administration;;;;;1605–1628 nachgewiesen
Scipione Caffarelli Borghese;1577;1633;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Bernardino Borlasca;1560;1632;katholisch;Hofleute, höfische Administration;;;;;
Heinrich Bormann von Kessel;;;keine Angabe;Hofleute, höfische Administration;;;;;1613 nachgewiesen
Philipp van den Bossche;;;protestantisch;"Künstler: Angewandte Kunst; Künstler: Graphik";;;;;zwischen 1604 und 1615
"französische Botschafter im Heiligen Römischen Reich, Italien und
               der Eidgenossenschaft";;;;;;;;;
Benjamin Bouwinghausen von Wallmerode;1571;1635;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs; Hofleute, höfische Administration";Bouwinghausen von Wallmerode (Adelsfamilie);;;;
Daniel Bouwinghausen von Wallmerode;;;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";Bouwinghausen von Wallmerode (Adelsfamilie);;;;1593–1636
Nikolaus Bouwinghausen von Wallmerode;1591;1621;protestantisch;"Angehörige des Militärs; Angehörige der Aristokratie";Bouwinghausen von Wallmerode (Adelsfamilie);;;;
Bouwinghausen von Wallmerode (Adelsfamilie);;;;;;;;;
Johann Brambach;;1616;keine Angabe;Städtische Administration;;;;;1593–1616 nachgewiesen
Agnes von Brandenburg;1584;1629;protestantisch;Angehörige der Aristokratie;;;;;
Anna Maria von Brandenburg;1567;1618;protestantisch;Angehörige der Aristokratie;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Barbara Sophie von Brandenburg;1584;1636;protestantisch;Angehörige der Aristokratie;;Stammbücher Philipp Hainhofers;;;
Elisabeth Sophie von Brandenburg;1589;1629;protestantisch;Angehörige der Aristokratie;;;;;
Erdmuthe von Brandenburg;1561;1623;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Johann Georg von Brandenburg-Jägerndorf;1577;1624;protestantisch;Angehörige der Aristokratie;;;;;
Johann Georg von Brandenburg;1598;1637;protestantisch;"Angehörige der Aristokratie; Angehörige des Militärs";;;;;
Sophie von Brandenburg;1568;1622;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Hieronymus Brandenburger;;1642;katholisch;Städtische Administration;;;;;
Esaias von Brandenstein;1567;1623;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Johann Brandt;;1637;katholisch;Hofleute, höfische Administration;;;;;
Wolfgang Philipp von Brandt;;1637;protestantisch;Hofleute, höfische Administration;;;;;
Johannes Brauneisen;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1636 tätig
Clara Augusta zu Braunschweig-Lüneburg;1632;1700;protestantisch;Angehörige der Aristokratie;;;;;
Elisabeth zu Braunschweig-Lüneburg;1593;1650;protestantisch;Angehörige der Aristokratie;;;;;
Heinrich August zu Braunschweig-Lüneburg;1625;1627;protestantisch;Angehörige der Aristokratie;;;;;
Sybilla Ursula zu Braunschweig-Lüneburg;1629;1671;protestantisch;"Angehörige der Aristokratie; Gelehrte und Schriftsteller";;;;;
Sibylle Elisabeth von Braunschweig-Dannenberg;1576;1630;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Sidonia von Braunschweig-Lüneburg-Dannenberg;1577;1645;protestantisch;Angehörige der Aristokratie;;;;;
Johann von Braunschweig-Lüneburg;1583;1628;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Magnus von Braunschweig-Lüneburg;1577;1632;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Sibylle von Braunschweig-Lüneburg;;1652;keine Angabe;Angehörige der Aristokratie;;;;;
Sophia Hedwig von Braunschweig-Lüneburg;1561;1631;protestantisch;Angehörige der Aristokratie;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Elisabeth von Braunschweig-Wolfenbüttel;1567;1618;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Julius August von Braunschweig-Wolfenbüttel;1578;1617;protestantisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";;Stammbuch Philipps II. von Pommern-Stettin;;;
Maria von Braunschweig-Wolfenbüttel;1566;1626;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Barbara von Breiten-Landenberg;;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1578 und 1614
Johann Peter Breitenacker;;;protestantisch;Hofleute, höfische Administration;;;;;1585–1615 nachgewiesen
Veit Breitschwert;1565;1631;protestantisch;"Hofleute, höfische Administration; Städtische Administration";;;;;
Brennus;;;andere;Sonstige;;;;;4. Jh. v. Chr.
David Brentel;1556;1615;keine Angabe;"Künstler: Malerei; Künstler: Graphik";;Stammbaum von Hans Heinrich Haintzel und Barbara Neidhart auf dem Rad eines Pfaus;;;
Friedrich Brentel;1580;1651;protestantisch;"Künstler: Malerei; Künstler: Graphik";;Stammbücher Philipp Hainhofers;;;
Georg Breuning;;1617;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;zwischen 1605 und 1617
Johann Jakob Breuning;1552;1617;protestantisch;Hofleute, höfische Administration;;;;;
Paul Bril;;1626;katholisch;Künstler: Malerei;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Johann Heinrich Brimsy von Herblingen;;1630;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Sebastian Briquet;;1624;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Hofleute, höfische Administration";;;;;
Johann II. von Bronckhorst-Batenburg;1550;1617;katholisch;Angehörige der Aristokratie;;;;;
Nikolaus von Bruckhausen;1554;1631;protestantisch;Angehörige des Militärs;;Stammbücher Philipp Hainhofers;;;
Paul Brückner;1558;1621;protestantisch;"Städtische Administration; Hofleute, höfische Administration";;;;;
Jan Brueghel der Ältere;1568;1625;katholisch;Künstler: Malerei;;"Stammbuch Philipps II. von Pommern-Stettin; Stammbücher Philipp Hainhofers";;;
Lucius Iunius Brutus;;;andere;Angehörige der Aristokratie;;;;;um 509 v. Chr.
Johann Israel de Bry;1570;1611;protestantisch;Künstler: Graphik;;;;;
Wilhelm Bühler;;;keine Angabe;Hofleute, höfische Administration;;;;;zwischen ca. 1593 und 1615
Heinrich von Bünau;1571;1628;protestantisch;;;;;;
von Büring, Fräulein;;;keine Angabe;Angehörige der Aristokratie;;;;;um 1613
Melchior Büttel;;1616;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1593–um 1616
Matthäus Buhmeier;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1636 tätig
Balthasar Burckhart;;;keine Angabe;Angehörige des Militärs;;;;;um 1612
Jakob Burckhart;;1618;katholisch;Hofleute, höfische Administration;;;;;
Juliana Burckhart;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;zwischen ca. 1597 und 1618
Kaspar Burckhart;;1621;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;Garten des Kaspar Burckhart;;;
